snapshot,biomass,coal,dfo,gas,hydro,nuclear,other,solar,wind,storage
2022-01-02 14:00:00,137.5,12776.6,0.0,12083.1397724452,48.378819682892996,5138.6,229.7,7887.116834935803,10125.50139893611,0.0
2022-01-02 15:00:00,137.5,12776.6,0.0,11205.059057442748,49.722396082331,5138.6,229.7,8276.29508964029,9133.78530583463,0.0
2022-01-02 16:00:00,137.5,12776.6,0.0,11473.90084644126,49.619586701937,5138.6,229.7,8319.372459478202,8010.4389593786,0.0
2022-01-02 17:00:00,137.5,12181.7,0.0,15960.858472180049,86.39394144153,5138.6,229.7,6294.745723813983,6498.80720156444,0.0
2022-01-02 18:00:00,137.5,12776.6,0.0,23491.32460758167,388.792321878042,5138.6,229.7,1163.9316769900438,5346.46820055024,0.0
2022-01-02 19:00:00,137.5,12776.6,0.0,27833.205106702397,388.500527395933,5138.6,229.7,0.350695604172839,5130.1745752975,0.0
2022-01-02 20:00:00,137.5,12776.6,0.0,28599.951704784078,389.2553910702,5138.6,229.7,0.167378442760281,5067.68792770296,0.0
2022-01-02 21:00:00,137.5,12776.6,0.0,28439.84179675482,382.38618732864,5138.6,229.7,0.167378442760281,5186.75125247377,0.0
2022-01-02 22:00:00,137.5,12776.6,0.0,28074.56329212861,374.58758530248497,5138.6,229.7,0.167378442760281,5236.7312181261495,0.0
2022-01-02 23:00:00,137.5,12776.6,0.0,27136.508709806396,44.8209839317846,5138.6,229.7,0.167378442760281,5166.09477681906,0.0
2022-01-03 00:00:00,137.5,12776.6,0.0,25934.415408130244,36.3819860250662,5138.6,229.7,0.167378442760281,5105.08059040193,0.0
2022-01-03 01:00:00,137.5,12776.6,0.0,24796.535382093443,203.263664927759,5138.6,229.7,0.167378442760281,5164.38799053603,0.0
2022-01-03 02:00:00,137.5,12776.6,0.0,24587.789630462776,54.389756310737,5138.6,229.7,0.167378442760281,5271.38655878372,0.0
2022-01-03 03:00:00,137.5,12776.6,0.0,24599.819816605115,41.8921529751017,5138.6,229.7,0.167378442760281,5397.19584497702,0.0
2022-01-03 04:00:00,137.5,12776.6,0.0,25029.195209744703,42.5016577743954,5138.6,229.7,0.167378442760281,5570.62920903814,0.0
2022-01-03 05:00:00,137.5,12776.6,0.0,25977.772549036225,76.38731768603,5138.6,229.7,0.1752268677377282,5969.87025141001,0.0
2022-01-03 06:00:00,137.5,12776.6,0.0,27269.411742221888,379.839633504622,5138.6,229.7,0.167378442760281,6660.32073783073,0.0
2022-01-03 07:00:00,137.5,12776.6,0.0,29532.56821364505,555.49931765544,5138.6,229.7,0.1677506548889808,6903.68795001591,322.26170402871594
2022-01-03 08:00:00,137.5,12776.6,0.0,29802.248252332978,563.38425876899,5138.6,229.7,78.50871954561192,7398.0304729116,1473.9749014408173
2022-01-03 09:00:00,137.5,12776.6,0.0,26854.400542948326,568.8,5138.6,229.7,3129.6440642507787,8039.69934526854,86.47339453235027
2022-01-03 10:00:00,137.5,12776.6,0.0,21376.7536214166,568.17458926377,5138.6,229.7,8098.402791644756,6051.62673267488,0.0
2022-01-03 11:00:00,137.5,12776.6,0.0,19889.130793184806,299.624517263183,5138.6,229.7,8627.152457313108,4446.6685272389,0.0
2022-01-03 12:00:00,137.5,12776.6,0.0,16692.61260025901,46.6701196117456,5138.6,229.7,8244.485552585067,5445.37962854418,0.0
2022-01-03 13:00:00,137.5,12776.6,0.0,13152.399678582427,80.861281922836,5138.6,229.7,7998.0615108276,6846.32840066714,0.0
2022-01-03 14:00:00,137.5,12776.6,0.0,10306.550508741255,81.877761868682,5138.6,229.7,8120.391423100187,7657.6312492898705,0.0
2022-01-03 15:00:00,137.5,12776.6,0.0,7723.672304899099,83.212323418844,5138.6,229.7,8498.737387576186,8472.09248310587,0.0
2022-01-03 16:00:00,137.5,12776.6,0.0,6278.874138047181,83.245516479916,5138.6,229.7,8153.132662811372,9660.23668588375,0.0
2022-01-03 17:00:00,137.5,12776.6,0.0,9388.543185974977,82.800885402129,5138.6,229.7,5044.037783723985,10082.64655989891,0.0
2022-01-03 18:00:00,137.5,12776.6,0.0,15671.050166939855,82.915798739934,5138.6,229.7,693.5515393375268,10134.48694598268,0.0
2022-01-03 19:00:00,137.5,12776.6,0.0,15481.373741694315,82.775519071743,5138.6,229.7,0.1907540286157731,14017.29982291173,157.2191632935788
2022-01-03 20:00:00,137.5,12776.6,0.0,11824.568719620742,82.864939841606,5138.6,229.7,0.1845372803282927,18670.18528381354,64.61128144378944
2022-01-03 21:00:00,137.5,12776.6,0.0,9185.009389431307,84.054008853625,5138.6,229.7,0.1845372803282927,21632.56343917184,47.26955526290092
2022-01-03 22:00:00,137.5,12776.6,0.0,8426.792498469766,76.161961306308,5138.6,229.7,0.1845372803282927,21809.18951294359,0.0
2022-01-03 23:00:00,137.5,12776.6,0.0,6898.2494093202,75.601741148227,5138.6,229.7,0.1845372803282927,21748.20049125124,0.0
2022-01-04 00:00:00,137.5,12776.6,0.0,5351.776850545378,77.654394104383,5138.6,229.7,0.1845372803282927,21692.56489206991,0.0
